views,likes,
154086,3430,
200038,12531,
841964,18532,
975902,11339,
2011809,9050,
7379660,91034,
140214,1698,
178775,8358,
460707,45340,
5320611,0,
275453,19438,
960652,18328,
196862,10699,
245806,12917,
2100287,83088,
248866,26973,
635309,59625,
453977,29647,
876160,48888,
16024694,595011,
97469,6016,
929087,37207,
222007,9628,
488116,1963,
1598969,93970,
2512773,80348,
578290,25986,
9382089,265805,
3913670,0,
6081624,0,
875265,57077,
166100,7599,
512139,26859,
516127,12891,
283550,16270,
145379,4727,
3272957,32244,
2438899,29887,
546515,11828,
335134,19782,
261235,9118,
179002,0,
6244166,108690,
17606413,400918,
859769,60455,
161230,5410,
155816,2583,
19033533,229724,
715300,21355,
2471306,32015,
1539341,49424,
500701,15577,
23044632,322954,
213000,8682,
871729,6181,
480592,21160,
116815,5835,
496884,25525,
2049309,36195,
224540,18124,
216579,10363,
183405,12864,
179449,11470,
284772,17263,
145514,5311,
3121922,161521,
120253,1264,
413606,22316,
975879,3811,
17255781,479802,
9040932,136097,
474757,17815,
266866,6287,
449333,41452,
348701,30604,
225877,17666,
108212,5682,
98791,6400,
110167,11357,
215582,6881,
121652,7191,
5638244,62346,
517090,0,
192663,6786,
216099,6134,
2871963,82615,
112272,2044,
379869,16230,
1626876,106162,
127607,13194,
451663,9595,
287939,21547,
813927,40019,
283817,20167,
658967,35410,
85652,4677,
282604,20499,
421526,22638,
4317497,215942,
1587662,0,
4449797,178366,
1803762,64825,
2386181,139196,
1192501,40490,
638915,16138,
1802358,103097,
923466,12293,
688810,13079,
3342121,87684,
908162,13394,
473981,8218,
3460685,75142,
798764,16026,
894214,75289,
688153,14131,
8612916,101981,
3798760,299456,
932893,10355,
624142,21540,
3615097,34968,
4146039,64816,
488518,19241,
1851496,57873,
3815774,104233,
840602,53230,
476966,29368,
406711,28663,
228558,8643,
847173,33280,
869847,41059,
528071,12348,
702606,25644,
708997,21931,
758739,22710,
2086839,149045,
642972,43280,
367063,6130,
880862,32405,
2615208,42669,
187179,5507,
368561,21552,
621420,21144,
758627,20969,
1369472,32800,
167164,13399,
470734,46800,
318476,28859,
2087689,23283,
269926,7593,
838181,20218,
428523,5482,
2251917,72136,
3905931,10935,
1538101,26152,
682207,17531,
238320,8356,
438609,22517,
1742290,221821,
14863924,380918,
350100,22528,
464869,10238,
3221349,137544,
11635307,0,
62609,3493,
136767,9924,
1790485,92458,
5700358,44117,
4132008,277757,
307726,9261,
348077,19040,
2902139,122189,
2420133,44159,
331785,7933,
232830,3962,
2937724,0,
1717828,21983,
276234,0,
345304,8003,
3693836,73500,
214039,18085,
225272,7663,
330390,16870,
1170953,19345,
152183,17043,
266239,40801,
2144093,51248,
1072963,29911,
747214,25276,
583049,16350,
2269431,48112,
777645,20899,
311760,5526,
5289593,189048,
4113144,235550,
255520,12176,
328600,26266,
395336,15806,
15923491,162334,
4395422,66521,
107846,4698,
155029,11385,
135667,2434,
1621236,45890,
119942,8783,
439093,26757,
552257,23826,
473690,31962,
234660,13453,
979705,18542,
11571063,174852,
2878229,0,
174290,0,
620069,45667,
1860676,48273,
416749,10244,
10979203,94891,
1015303,30692,
2366360,102047,
634263,39943,
2545224,133896,
1726534,109900,
1561072,35076,
371740,32635,
196561,14582,
2245462,44082,
3395217,108507,
377111,19174,
3485189,41124,
999618,36195,
168977,13760,
1209983,60250,
96060,2893,
778017,39802,
101624,1593,
3181992,35850,
268414,8736,
10541677,195500,
130170,4923,
2245519,95653,
96631,10649,
756678,24515,
143377,3865,
359762,13835,
154483,22550,
758191,27977,
231929,6042,
364095,19811,
95741,5298,
428162,25317,
514029,20536,
343963,15242,
273339,13213,
56764,2140,
9859702,170201,
343157,27730,
87615,3290,
826092,10000,
5642966,90403,
493713,8420,
1025671,13121,
225985,4651,
160642,13924,
299527,20211,
81273,960,
149647,9624,
270994,11893,
2868017,79259,
249291,8794,
1454902,30975,
146919,14081,
127876,5456,
200913,18741,
279829,9581,
1866734,11797,
206469,14010,
116168,6534,
1422286,60752,
1204688,23722,
124640,16311,
4036812,0,
358908,28635,
6974058,143197,
233464,11659,
172816,15560,
154047,8305,
128585,5289,
4293669,0,
26444944,276930,
77825,1779,
136669,3849,
4522835,75676,
51060,2061,
93038,6865,
558584,39808,
78789,4459,
240711,10180,
220041,4547,
516523,4426,
215845,2527,
89820,1797,
60092,3018,
156895,3102,
189629,6528,
86191,1205,
43290,1945,
89558,2275,
148683,3728,
150745,2833,
146301,8464,
43181,3128,
119261,9065,
197616,11955,
123430,7799,
99336,3166,
134048,7676,
150885,5546,
23142,320,
75673,7070,
92023,8481,
68893,1264,
88696,3074,
1807521,122587,
182793,5470,
49599,2428,
93340,6770,
21826,581,
115582,4340,
57808,3851,
80579,1674,
42135,2570,
382770,2957,
61086,5309,
65146,2591,
46917,879,
112814,1538,
53094,4840,
52455,7907,
60812,1929,
82224,5133,
50848,2855,
4158596,53542,
62947,2202,
58667,4176,
33298,2407,
194828,3161,
145809,1107,
349465,16540,
70536,1581,
82754,2003,
109543,4049,
92614,3842,
32470,1625,
57325,1354,
115124,1180,
19702,1658,
59081,1116,
85640,1248,
277217,8835,
94929,9740,
69823,303,
2795210,60369,
407714,7467,
147546,7564,
363813,60038,
92689,1066,
167889,2326,
402639,27274,
68893,8717,
142170,22721,
259861,0,
92764,14992,
263447,27356,
165278,16053,
49492,2173,
62755,8105,
21444,1249,
22494,3057,
39923,4232,
40747,3232,
18912,3453,
508845,0,
13501,2057,
74580,8729,
20277,2010,
22680,2152,
25814,2438,
26542,2386,
38057,3825,
1017559,88670,
33647,3378,
8440279,274526,
2960035,33262,
4082248,73002,
2210510,45199,
2211848,59180,
2730783,41041,
5437224,105158,
3176475,106240,
2599728,63070,
1010459,46966,
2301395,51634,
1785118,28490,
4261346,59766,
1923327,58868,
1253033,101937,
628797,34217,
1243667,74574,
938418,28495,
849494,25305,
2427666,42341,
736966,9187,
1240593,55777,
1969391,23246,
627411,79458,
1449877,15446,
753356,23666,
2138460,104606,
941582,34454,
1642171,177604,
430532,9772,
11594942,501632,
22021482,588852,
1380266,61845,
1569512,74336,
971587,75331,
1812379,38478,
756276,19566,
2922237,167115,
1358971,62453,
3932139,52356,
1185668,21675,
2411693,111502,
412993,8797,
1077029,15546,
360020,12432,
1070740,45824,
596241,10734,
637007,23012,
1217505,53084,
1133498,0,
1144385,11342,
1541859,27211,
269175,8741,
832152,22766,
720170,40231,
477466,47970,
548927,8210,
478988,39922,
1184260,0,
5086567,350036,
1198601,40722,
774216,39346,
1703479,84075,
393829,23160,
1093686,18207,
411616,7525,
839051,42207,
348435,17274,
398706,6043,
1666693,65907,
751694,8041,
620847,44769,
774276,13275,
538735,16066,
634729,13147,
677338,105639,
330807,43794,
3882952,51519,
321611,9310,
1414774,45365,
3132159,63213,
2634823,266910,
436834,19742,
1254879,141945,
509173,40564,
784134,11111,
696092,15702,
515123,37693,
471061,15435,
2409271,34732,
327898,11122,
2702512,122895,
3528658,268818,
2694271,76854,
1604500,74500,
990904,27424,
1121279,19904,
1909127,209031,
1900373,132218,
2193335,212913,
3199370,100483,
8333112,0,
2487745,69329,
103187408,1335205,
1173189,0,
2845617,142947,
1938536,26711,
10003670,0,
1500188,53583,
2421280,122926,
1106834,116982,
2195676,47575,
2757181,183495,
1769621,56311,
2488064,41476,
5082833,80423,
11363259,0,
4075166,47739,
1272218,77018,
1280562,51602,
2606175,64213,
1496825,22997,
842679,69195,
1144363,85013,
58517759,1295143,
1960480,192482,
1991731,78346,
28891097,259394,
2476719,93431,
1633585,101909,
1049462,63680,
1852221,59579,
1604056,69387,
23849335,326229,
18751024,412887,
10237023,175755,
727471,15655,
6099859,100554,
789210,37951,
1165268,43535,
2616908,71123,
2547576,65525,
8903705,275678,
1083098,26443,
797083,17750,
635601,21374,
1612160,22427,
4057447,134678,
1352709,31923,
459946,16864,
845119,18729,
5047390,0,
2243493,58313,
2283189,0,
1111991,17212,
4149244,313967,
1647666,104035,
708283,34990,
1591305,36560,
2218976,52513,
1469496,108808,
998569,23090,
664599,38275,
1108040,0,
1638960,36067,
1024815,22317,
1113140,92695,
2012957,94850,
490100,42925,
24097787,401594,
1037699,65345,
27033842,307006,
604611,79337,
1050816,90048,
1290088,13614,
758743,19766,
545283,23542,
1246288,39733,
632263,31984,
39613012,368143,
748818,14143,
4535609,472735,
23600997,207897,
8309974,0,
455251,27517,
1099164,23508,
2329032,53485,
1564514,70990,
12016415,167564,
895494,11872,
1570957,139367,
1810162,234026,
665863,14164,
1943142,49157,
1273860,20715,
478336,40901,
4945984,59801,
1860457,34412,
1891924,147945,
16818309,300992,
875544,19679,
2187573,136723,
1429845,150224,
4125092,129917,
1035167,18828,
249459,5779,
543946,79580,
404200,6057,
138164,7319,
335990,5218,
116396,3557,
236437,27682,
719909,55544,
418512,72114,
501032,44313,
319828,38234,
355354,20818,
264521,12998,
898466,15563,
489388,57235,
226926,4106,
292375,3061,
250798,6116,
154110,9871,
203475,3726,
622188,78398,
251785,23077,
188393,29524,
194197,6969,
115097,8695,
334764,5484,
513793,0,
98021,7824,
87731,16257,
106232,2008,
322235,8356,
474812,94922,
228836,36484,
135012,12408,
102643,12632,
85791,0,
1016939,5744,
126415,6821,
116693,13566,
79918,6084,
111434,6830,
139229,31639,
76970,5522,
92673,3174,
504800,486,
471106,30962,
94010,1205,
152857,7196,
213680,25474,
360955,15934,
360703,17769,
106069,16922,
85384,6041,
42620,4226,
154550,24270,
93662,10936,
56364,3555,
93958,22111,
97449,14085,
82735,8712,
56450,1549,
207518,12235,
31712,4549,
142111,13468,
58133,1940,
102737,4199,
71676,3463,
102470,16661,
162789,32906,
37107,935,
208398,5702,
504587,15173,
82461,14206,
56220,1956,
296762,6816,
56266,1201,
161410,24324,
84790,5194,
163206,4823,
32277,4642,
105927,4729,
81632,16360,
66212,7545,
48619,1929,
98318,2244,
87479,13939,
196975,28540,
115307,23587,
41960,4089,
192127,35428,
37274,3498,
35536,0,
61388,3823,
70677,6450,
46930,1523,
26546,1158,
91669,2165,
145837,7566,
361009,17518,
31786,5274,
49645,1375,
57447,10987,
60550,2573,
67970,8538,
50131,5879,
158586,14813,
185286,8008,
65588,2004,
69189,2716,
63601,12183,
44862,975,
76512,11157,
133849,22851,
23768,426,
45250,4733,
103337,5640,
33036,3908,
22269,1931,
84969,2873,
40580,2680,
59660,17843,
80657,2636,
87194,5109,
55578,1775,
58013,2610,
190094,4001,
97952,5926,
60140,14666,
55411,2364,
57665,7277,
150905,25540,
56704,2920,
96883,11795,
53459,3186,
65549,1872,
68632,8286,
47444,3006,
38186,3012,
233558,13806,
208842,9151,
81411,2233,
41792,2839,
21856,757,
65631,5003,
214519,13641,
50774,4283,
79618,17997,
43437,4016,
32757,2959,
56854,5966,
19583,1296,
20668,1743,
2822242,159334,
5648139,121972,
2575761,79227,
71086959,1350956,
3504705,35847,
2463499,71685,
1917949,158670,
1890094,27558,
3970791,45718,
2993014,161064,
9663955,133267,
2333355,79970,
2459822,95726,
2983767,265141,
2268341,0,
1545339,69903,
4048250,86221,
2033251,34709,
3197400,60677,
7239102,209555,
2690021,251629,
2134773,144158,
3850442,101597,
3132778,107277,
1679032,119400,
1661292,54651,
975274,21752,
1970931,74195,
1770760,55740,
904307,10080,
2450155,188329,
4454643,98035,
1272228,19691,
1137061,12228,
1683920,42526,
2351693,161775,
1295196,38560,
1691414,165779,
1191528,15897,
2476576,40351,
2224462,287172,
1176424,105538,
2931535,378629,
1935423,0,
1133960,16085,
1259661,30964,
1351622,49464,
1087888,30521,
3289702,342308,
810302,11038,
4627737,85662,
1998146,57044,
1879673,47569,
1011890,39582,
738048,59739,
1251827,24445,
4269075,132259,
1869544,18713,
1989186,27498,
7356758,80532,
1426996,44254,
2909367,95185,
1076950,58560,
1059457,23294,
911684,66970,
1617857,88350,
1423166,33657,
2000726,72748,
1803396,22209,
1464737,0,
956009,101664,
3095064,41891,
2523458,28103,
621148,10812,
1166724,17219,
3045947,137490,
1450958,29740,
1140048,27661,
860725,14430,
747555,0,
2015697,75310,
828668,17662,
955525,14155,
1405074,101602,
1923552,0,
1822862,41804,
599774,18139,
2682115,125854,
707264,0,
1676074,24292,
1430378,164297,
4029822,165490,
947552,39790,
770341,40728,
1788371,69196,
1579115,36582,
754291,60426,
1498844,47680,
1568158,111014,
1613824,20626,
1214036,18343,
1063017,0,
4070756,121590,
816125,0,
1727967,22570,
1056132,11986,
746854,32311,
397181,0,
1104459,27749,
2377428,88619,
1166399,0,
2602967,185515,
9381457,507279,
671407,20842,
632523,16779,
955442,11805,
1378932,59019,
2392331,34758,
677264,32674,
1067201,50426,
1608178,35398,
763684,23529,
1267949,18451,
1341143,40181,
714921,18064,
1273466,0,
1390975,78521,
3546082,64076,
5765412,590792,
1777856,167611,
802219,51463,
2721491,62813,
1412634,0,
1090534,96511,
2408657,38035,
570978,12606,
589914,6880,
1034967,76814,
1177280,27868,
7107331,89574,
1397689,21083,
2279386,58333,
511516,7630,
741731,21457,
1657231,74752,
4079219,105156,
446633,0,
2250916,156847,
35225876,392618,
5010139,236940,
6697742,83747,
827201,12596,
574574,17885,
1536349,26053,
710421,67621,
2430003,69657,
8663003,183592,
747653,52604,
1139159,20632,
4723549,212896,
18806088,155165,
3266305,179465,
10440950,0,
623360,33410,
531103,36222,
1337805,71505,
3867625,65432,
407024,43929,
819108,22844,
165781,0,
391087,59358,
848143,23895,
36019429,295136,
313726,31589,
333197,78395,
570725,71112,
2061869,0,
1009940,62423,
937235,15140,
930302,17942,
1252049,95887,
281577,29113,
81496,6314,
672729,72531,
274837,35647,
566726,44569,
144567,6039,
454448,0,
94883,5622,
1680079,30959,
195385,10365,
299211,28701,
714725,68823,
140366,9624,
130602,8264,
1466983,48787,
71429,3635,
220182,20998,
126420,10883,
4582354,0,
103309,8378,
119900,8605,
155239,6800,
63691,0,
165256,3978,
24192,3411,
287591,9330,
6299602,0,
13190755,0,
24141,4891,
75602,8651,
520982,29631,
63464,3236,
56183,4185,
295246,23648,
7922182,0,
102718,2343,
48129,6312,
324393,10523,
1132590,67095,
95428,3182,
127193,13874,
98915,7244,
1888037,39094,
1898243,39592,
29216,481,
45818,2675,
121339,18582,
23998,353,
35801,5804,
8570690,96850,
40348,3975,
169251,10519,
50168,3867,
63100,2810,
52925,9954,
5017843,156429,
36919,2999,
79785,5432,
30521,2168,
192414,7371,
2799632,103286,
243883,14330,
127792,12390,
5253999,42481,
22172,3560,
18094653,733231,
11037816,97803,
77858,1451,
2707344,85300,
2691798,0,
21864,2205,
693417,24376,
28249,3182,
38938,4179,
17982,3327,
50494,5558,
273156,2261,
5242205,226498,
94713,9543,
43052,4067,
410765,27882,
1913885,52363,
24059,2339,
86354,8633,
32668,3065,
218240,19220,
288006,8204,
36083,3529,
79908,5070,
40674,2605,
101309,7584,
16902010,457341,
3195101,161567,
7614219,66652,
88024,6370,
6556921,0,
7748442,140539,
4081048,298400,
39191,4125,
2096072,88089,
169407,6268,
63368,0,
103943,4241,
385374,19083,
2418617,0,
1803024,43393,
12905894,122099,
2231043,33719,
9611233,274647,
3996916,266170,
16454153,207512,
11397238,1069516,
330948,15215,
5363557,342827,
6814053,61136,
1870607,0,
4539628,89174,
20597117,464022,
4105717,160711,
130145,9204,
6988584,150552,
3863463,66227,
663244,24413,
1929537,174583,
1392368,14244,
902966,37485,
27820246,902976,
2309143,134444,
1808695,81597,
342803,15912,
6051405,477049,
11998029,354345,
2842320,53012,
223248,4944,
5278457,33882,
1039183,10178,
436398,5015,
188310,2582,
208432,2185,
97170,1668,
138575,1683,
88620,1046,
124362,1802,
60680,738,
57935,871,
45440,686,
49438,779,
89418,1128,
76865,1148,
181092,1975,
104949,1407,
39138,926,
757882,10112,
4372996,39093,
3860448,48071,
2006754,20684,
18488932,108678,
4880256,35527,
19730,515,
10729,291,
23317,1093,
11046,420,
8487,328,
20420,1232,
18262,858,
4983421,30759,
1219700,11522,
1511157,12714,
479897,7159,
1400277,20480,
19067,361,
10075,463,
2568851,18733,
26078,1292,
10701371,149922,
19185,1205,
5977093,37774,
18477,550,
17271,888,
9305985,49391,
22931,1517,
1723871,25560,
35095387,105472,
3570561,98210,
5732953,35200,
396058,6715,
4291611,34578,
1208391,10335,
3171381,16530,
2205061,13094,
27887376,96836,
9370050,37668,
1159851,9899,
29042735,241850,
550524,14820,
29899242,223891,
92310002,319803,
45598011,338708,
32586827,99852,
3459283,17516,
1264994,27316,
7181027,81601,
2181651,20114,
5733796,67080,
532180,6962,
613465,7086,
1150437,8174,
550311,4794,
2203054,14862,
154556,2225,
125748,2174,
558928,4940,
383425,4850,
165862,2648,
3244413,26246,
6196631,40706,
657774,5992,
988074,9496,
191134,2516,
354844,6006,
101412,2846,
537,102,
1686,170,
1556,170,
17018,1028,
159932,16122,
2089,152,
18024,811,
7720,506,
8224,561,
4279,96,
6614,247,
2638,183,
16785,726,
42735,2201,
12458,483,
20677,956,
5643,553,
1009312,65870,
13760,881,
78657,5818,
132005,5061,
22827,1484,
9347,489,
6230,304,
28073,804,
5669,298,
8862,341,
4591,229,
28343,1680,
10531,636,
2228,188,
5182,171,
7288,337,
14482,203,
6856,368,
11394,937,
20876,643,
159054,3398,
23752,547,
42073,2153,
7657,498,
25342,1159,
108523,5271,
303066,11819,
40690,2263,
25660,1122,
